latitude,longitude,altitude_ft
52.1559,20.9757,0.0
52.1522,20.979,997.37536
52.1393,20.9904,1998.03156
52.1296,20.999,1998.03156
52.1273,21.0008,1998.03156
52.1265,21.0014,1998.03156
52.1257,21.002,1998.03156
52.1249,21.0025,1998.03156
52.1241,21.003,1998.03156
52.1236,21.0031,1998.03156
52.1227,21.0036,1998.03156
52.1218,21.0039,1998.03156
52.121,21.0042,1998.03156
52.1201,21.0044,1998.03156
52.1193,21.0046,1998.03156
52.1182,21.0048,1998.03156
52.1173,21.0049,1998.03156
52.1164,21.0049,1998.03156
52.1156,21.0049,1998.03156
52.1143,21.0047,1998.03156
52.1135,21.0045,1998.03156
52.1124,21.0042,1998.03156
52.1119,21.0041,1998.03156
52.1109,21.0036,1998.03156
52.11,21.0033,1998.03156
52.1091,21.0027,1998.03156
52.1082,21.0022,1998.03156
52.1072,21.0015,1998.03156
52.1062,21.0007,1998.03156
52.1054,21.0001,1998.03156
52.1046,20.9994,1998.03156
52.1035,20.9984,1998.03156
52.1017,20.9967,1998.03156
52.0989,20.9939,1998.03156
52.0944,20.9888,2998.68776
52.0624,20.9528,3999.34396
52.0579,20.9477,3999.34396
52.0558,20.9451,3999.34396
52.0534,20.9417,3999.34396
52.0518,20.9393,3999.34396
52.0495,20.9355,3999.34396
52.0486,20.9339,3999.34396
52.0475,20.9321,3999.34396
52.0468,20.9306,3999.34396
52.046,20.929,3999.34396
52.0451,20.9272,3999.34396
52.0442,20.9251,3999.34396
52.0433,20.923,3999.34396
52.0425,20.921,3999.34396
52.0419,20.9193,3999.34396
52.0407,20.9158,3999.34396
52.04,20.9138,3999.34396
52.0391,20.9105,3999.34396
52.0388,20.9092,3999.34396
52.0384,20.9078,3999.34396
52.0375,20.9037,3999.34396
52.037,20.9015,3999.34396
52.0367,20.8993,3999.34396
52.0363,20.8969,3999.34396
52.036,20.8946,3999.34396
52.0356,20.8923,3999.34396
52.0354,20.8898,3999.34396
52.0352,20.8877,3999.34396
52.0351,20.8854,3999.34396
52.0348,20.8803,3999.34396
52.0342,20.8675,5000.00016
52.0324,20.7721,5997.37552
52.0314,20.7299,5997.37552
52.0306,20.6945,7998.68792
52.0298,20.646,8999.34412
52.0298,20.5817,10000.00032
52.0299,20.536,10000.00032
52.0304,20.5225,10997.37568
52.0308,20.5148,10997.37568
52.0336,20.4805,11998.03188
52.04,20.4026,12998.68808
52.047,20.3172,12998.68808
52.0533,20.2409,15000.00048
52.0597,20.1632,15997.37584
52.0648,20.1006,16998.03204
52.0695,20.0424,17998.68824
52.0742,19.983,18999.34444
52.0789,19.925,20000.00064
52.0842,19.8576,20997.376
52.09,19.7829,21998.0322
52.0943,19.7285,22998.6884
52.1047,19.5939,23999.3446
52.1134,19.4795,25000.0008
52.1232,19.3488,25997.37616
52.1315,19.2369,26998.03236
52.1427,19.083,26998.03236
52.1547,18.9142,28999.34476
52.1676,18.7284,30000.00096
52.1782,18.574,30997.37632
52.1905,18.3907,31998.03252
52.2023,18.2094,32998.68872
52.2176,17.9674,33999.34492
52.2333,17.7116,35000.00112
